,Country,Gender,Demographics Question,Demographics Response,Question,Value
3203,Cote d'Ivoire,M,Employment,Employed for cash,... if she argues with him,25.2
3204,Cote d'Ivoire,M,Employment,Employed for kind,... if she argues with him,30.6
3205,Cote d'Ivoire,M,Employment,Unemployed,... if she argues with him,23.2
3206,Cote d'Ivoire,M,Employment,Employed for cash,... if she goes out without telling him,21.6
3207,Cote d'Ivoire,M,Employment,Employed for kind,... if she goes out without telling him,26.5
3208,Cote d'Ivoire,M,Employment,Unemployed,... if she goes out without telling him,19.5
3209,Cote d'Ivoire,M,Employment,Employed for cash,... if she neglects the children,27.3
3210,Cote d'Ivoire,M,Employment,Employed for kind,... if she neglects the children,33.9
3211,Cote d'Ivoire,M,Employment,Unemployed,... if she neglects the children,30.5
3212,Cote d'Ivoire,M,Employment,Employed for cash,... if she refuses to have sex with him,11.1
3213,Cote d'Ivoire,M,Employment,Employed for kind,... if she refuses to have sex with him,17.0
3214,Cote d'Ivoire,M,Employment,Unemployed,... if she refuses to have sex with him,9.5
3215,Cote d'Ivoire,M,Marital status,Married or living together,... for at least one specific reason,37.4
3216,Cote d'Ivoire,M,Marital status,Never married,... for at least one specific reason,46.6
3217,Cote d'Ivoire,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,43.2
3218,Cote d'Ivoire,M,Marital status,Married or living together,... if she argues with him,23.6
3219,Cote d'Ivoire,M,Marital status,Never married,... if she argues with him,28.6
3220,Cote d'Ivoire,M,Marital status,"Widowed, divorced, separated",... if she argues with him,18.7
3221,Cote d'Ivoire,M,Marital status,Married or living together,... if she goes out without telling him,21.8
3222,Cote d'Ivoire,M,Marital status,Never married,... if she goes out without telling him,22.6
3223,Cote d'Ivoire,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,17.6
3224,Cote d'Ivoire,M,Marital status,Married or living together,... if she neglects the children,25.7
3225,Cote d'Ivoire,M,Marital status,Never married,... if she neglects the children,31.6
3226,Cote d'Ivoire,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,32.1
3227,Cote d'Ivoire,M,Marital status,Married or living together,... if she refuses to have sex with him,11.1
3228,Cote d'Ivoire,M,Marital status,Never married,... if she refuses to have sex with him,12.6
3229,Cote d'Ivoire,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,9.6
3230,Cote d'Ivoire,M,Residence,Rural,... for at least one specific reason,43.7
3231,Cote d'Ivoire,M,Residence,Urban,... for at least one specific reason,40.3
3232,Cote d'Ivoire,M,Residence,Rural,... if she argues with him,28.1
3233,Cote d'Ivoire,M,Residence,Urban,... if she argues with him,23.4
3234,Cote d'Ivoire,M,Residence,Rural,... if she goes out without telling him,25.3
3235,Cote d'Ivoire,M,Residence,Urban,... if she goes out without telling him,18.9
3236,Cote d'Ivoire,M,Residence,Rural,... if she neglects the children,29.5
3237,Cote d'Ivoire,M,Residence,Urban,... if she neglects the children,28.0
3238,Cote d'Ivoire,M,Residence,Rural,... if she refuses to have sex with him,14.7
3239,Cote d'Ivoire,M,Residence,Urban,... if she refuses to have sex with him,9.0
3240,Dominican Republic,F,Education,Higher,... if she burns the food,0.0
3241,Dominican Republic,F,Age,25-34,... if she burns the food,0.4
3242,Dominican Republic,F,Education,Secondary,... if she burns the food,0.5
3243,Dominican Republic,F,Employment,Employed for cash,... if she burns the food,0.5
3244,Dominican Republic,F,Marital status,Married or living together,... if she burns the food,0.5
3245,Dominican Republic,F,Marital status,Never married,... if she burns the food,0.6
3246,Dominican Republic,F,Residence,Urban,... if she burns the food,0.6
3247,Dominican Republic,F,Age,15-24,... if she burns the food,0.7
3248,Dominican Republic,F,Age,35-49,... if she burns the food,0.7
3249,Dominican Republic,F,Employment,Employed for kind,... if she burns the food,0.7
3250,Dominican Republic,F,Residence,Rural,... if she burns the food,0.7
3251,Dominican Republic,F,Employment,Unemployed,... if she burns the food,0.8
3252,Dominican Republic,F,Marital status,"Widowed, divorced, separated",... if she burns the food,0.9
3253,Dominican Republic,F,Education,Primary,... if she burns the food,1.3
3254,Dominican Republic,F,Education,No education,... if she burns the food,1.9
3255,Dominican Republic,M,Employment,Employed for cash,... if she burns the food,14.9
3256,Dominican Republic,M,Employment,Employed for kind,... if she burns the food,14.9
3257,Dominican Republic,M,Education,Higher,... if she burns the food,0.0
3258,Dominican Republic,M,Age,35-49,... if she burns the food,0.5
3259,Dominican Republic,M,Education,Secondary,... if she burns the food,0.6
3260,Dominican Republic,M,Marital status,Married or living together,... if she burns the food,0.6
3261,Dominican Republic,M,Age,25-34,... if she burns the food,0.7
3262,Dominican Republic,M,Residence,Urban,... if she burns the food,0.8
3263,Dominican Republic,M,Employment,Unemployed,... if she burns the food,0.9
3264,Dominican Republic,M,Marital status,"Widowed, divorced, separated",... if she burns the food,1.1
3265,Dominican Republic,M,Marital status,Never married,... if she burns the food,1.2
3266,Dominican Republic,M,Residence,Rural,... if she burns the food,1.2
3267,Dominican Republic,M,Age,15-24,... if she burns the food,1.4
3268,Dominican Republic,M,Education,Primary,... if she burns the food,1.5
3269,Dominican Republic,M,Education,No education,... if she burns the food,3.1
3270,Dominican Republic,F,Age,15-24,... for at least one specific reason,2.9
3271,Dominican Republic,F,Age,25-34,... for at least one specific reason,2.3
3272,Dominican Republic,F,Age,35-49,... for at least one specific reason,1.8
3273,Dominican Republic,F,Age,15-24,... if she argues with him,0.8
3274,Dominican Republic,F,Age,25-34,... if she argues with him,0.6
3275,Dominican Republic,F,Age,35-49,... if she argues with him,0.6
3276,Dominican Republic,F,Age,15-24,... if she goes out without telling him,0.7
3277,Dominican Republic,F,Age,25-34,... if she goes out without telling him,1.1
3278,Dominican Republic,F,Age,35-49,... if she goes out without telling him,0.7
3279,Dominican Republic,F,Age,15-24,... if she neglects the children,1.9
3280,Dominican Republic,F,Age,25-34,... if she neglects the children,1.7
3281,Dominican Republic,F,Age,35-49,... if she neglects the children,1.5
3282,Dominican Republic,F,Age,15-24,... if she refuses to have sex with him,0.5
3283,Dominican Republic,F,Age,25-34,... if she refuses to have sex with him,0.3
3284,Dominican Republic,F,Age,35-49,... if she refuses to have sex with him,0.3
3285,Dominican Republic,F,Education,Higher,... for at least one specific reason,0.5
3286,Dominican Republic,F,Education,No education,... for at least one specific reason,3.9
3287,Dominican Republic,F,Education,Primary,... for at least one specific reason,4.4
3288,Dominican Republic,F,Education,Secondary,... for at least one specific reason,2.0
3289,Dominican Republic,F,Education,Higher,... if she argues with him,0.2
3290,Dominican Republic,F,Education,No education,... if she argues with him,3.3
3291,Dominican Republic,F,Education,Primary,... if she argues with him,1.2
3292,Dominican Republic,F,Education,Secondary,... if she argues with him,0.5
3293,Dominican Republic,F,Education,Higher,... if she goes out without telling him,0.2
3294,Dominican Republic,F,Education,No education,... if she goes out without telling him,1.9
3295,Dominican Republic,F,Education,Primary,... if she goes out without telling him,1.5
3296,Dominican Republic,F,Education,Secondary,... if she goes out without telling him,0.7
3297,Dominican Republic,F,Education,Higher,... if she neglects the children,0.3
3298,Dominican Republic,F,Education,No education,... if she neglects the children,2.5
3299,Dominican Republic,F,Education,Primary,... if she neglects the children,3.3
3300,Dominican Republic,F,Education,Secondary,... if she neglects the children,1.5
3301,Dominican Republic,F,Education,Higher,... if she refuses to have sex with him,0.2
3302,Dominican Republic,F,Education,No education,... if she refuses to have sex with him,2.1
3303,Dominican Republic,F,Education,Primary,... if she refuses to have sex with him,0.6
3304,Dominican Republic,F,Education,Secondary,... if she refuses to have sex with him,0.3
3305,Dominican Republic,F,Employment,Employed for cash,... for at least one specific reason,2.1
3306,Dominican Republic,F,Employment,Employed for kind,... for at least one specific reason,2.2
3307,Dominican Republic,F,Employment,Unemployed,... for at least one specific reason,2.7
3308,Dominican Republic,F,Employment,Employed for cash,... if she argues with him,0.7
3309,Dominican Republic,F,Employment,Employed for kind,... if she argues with him,0.5
3310,Dominican Republic,F,Employment,Unemployed,... if she argues with him,0.7
3311,Dominican Republic,F,Employment,Employed for cash,... if she goes out without telling him,0.8
3312,Dominican Republic,F,Employment,Employed for kind,... if she goes out without telling him,1.0
3313,Dominican Republic,F,Employment,Unemployed,... if she goes out without telling him,0.8
3314,Dominican Republic,F,Employment,Employed for cash,... if she neglects the children,1.5
3315,Dominican Republic,F,Employment,Employed for kind,... if she neglects the children,1.7
3316,Dominican Republic,F,Employment,Unemployed,... if she neglects the children,2.0
3317,Dominican Republic,F,Employment,Employed for cash,... if she refuses to have sex with him,0.3
3318,Dominican Republic,F,Employment,Employed for kind,... if she refuses to have sex with him,0.6
3319,Dominican Republic,F,Employment,Unemployed,... if she refuses to have sex with him,0.5
3320,Dominican Republic,F,Marital status,Married or living together,... for at least one specific reason,2.2
3321,Dominican Republic,F,Marital status,Never married,... for at least one specific reason,2.8
3322,Dominican Republic,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2.3
3323,Dominican Republic,F,Marital status,Married or living together,... if she argues with him,0.4
3324,Dominican Republic,F,Marital status,Never married,... if she argues with him,0.9
3325,Dominican Republic,F,Marital status,"Widowed, divorced, separated",... if she argues with him,1.0
3326,Dominican Republic,F,Marital status,Married or living together,... if she goes out without telling him,0.9
3327,Dominican Republic,F,Marital status,Never married,... if she goes out without telling him,0.5
3328,Dominican Republic,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,0.9
3329,Dominican Republic,F,Marital status,Married or living together,... if she neglects the children,1.6
3330,Dominican Republic,F,Marital status,Never married,... if she neglects the children,1.8
3331,Dominican Republic,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,1.9
3332,Dominican Republic,F,Marital status,Married or living together,... if she refuses to have sex with him,0.4
3333,Dominican Republic,F,Marital status,Never married,... if she refuses to have sex with him,0.5
3334,Dominican Republic,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,0.3
3335,Dominican Republic,F,Residence,Rural,... for at least one specific reason,2.6
3336,Dominican Republic,F,Residence,Urban,... for at least one specific reason,2.3
3337,Dominican Republic,F,Residence,Rural,... if she argues with him,1.0
3338,Dominican Republic,F,Residence,Urban,... if she argues with him,0.6
3339,Dominican Republic,F,Residence,Rural,... if she goes out without telling him,0.7
3340,Dominican Republic,F,Residence,Urban,... if she goes out without telling him,0.8
3341,Dominican Republic,F,Residence,Rural,... if she neglects the children,1.8
3342,Dominican Republic,F,Residence,Urban,... if she neglects the children,1.7
3343,Dominican Republic,F,Residence,Rural,... if she refuses to have sex with him,0.6
3344,Dominican Republic,F,Residence,Urban,... if she refuses to have sex with him,0.3
3345,Dominican Republic,M,Age,15-24,... for at least one specific reason,6.2
3346,Dominican Republic,M,Age,25-34,... for at least one specific reason,3.6
3347,Dominican Republic,M,Age,35-49,... for at least one specific reason,2.2
3348,Dominican Republic,M,Age,15-24,... if she argues with him,1.5
3349,Dominican Republic,M,Age,25-34,... if she argues with him,1.0
3350,Dominican Republic,M,Age,35-49,... if she argues with him,0.6
3351,Dominican Republic,M,Age,15-24,... if she goes out without telling him,3.4
3352,Dominican Republic,M,Age,25-34,... if she goes out without telling him,1.9
3353,Dominican Republic,M,Age,35-49,... if she goes out without telling him,1.1
3354,Dominican Republic,M,Age,15-24,... if she neglects the children,3.6
3355,Dominican Republic,M,Age,25-34,... if she neglects the children,2.1
3356,Dominican Republic,M,Age,35-49,... if she neglects the children,1.0
3357,Dominican Republic,M,Age,15-24,... if she refuses to have sex with him,0.8
3358,Dominican Republic,M,Age,25-34,... if she refuses to have sex with him,0.9
3359,Dominican Republic,M,Age,35-49,... if she refuses to have sex with him,0.2
3360,Dominican Republic,M,Education,Higher,... for at least one specific reason,0.9
3361,Dominican Republic,M,Education,No education,... for at least one specific reason,10.4
3362,Dominican Republic,M,Education,Primary,... for at least one specific reason,6.6
3363,Dominican Republic,M,Education,Secondary,... for at least one specific reason,2.7
3364,Dominican Republic,M,Education,Higher,... if she argues with him,0.1
3365,Dominican Republic,M,Education,No education,... if she argues with him,3.0
3366,Dominican Republic,M,Education,Primary,... if she argues with him,1.7
3367,Dominican Republic,M,Education,Secondary,... if she argues with him,0.7
3368,Dominican Republic,M,Education,Higher,... if she goes out without telling him,0.2
3369,Dominican Republic,M,Education,No education,... if she goes out without telling him,5.0
3370,Dominican Republic,M,Education,Primary,... if she goes out without telling him,3.9
3371,Dominican Republic,M,Education,Secondary,... if she goes out without telling him,1.1
3372,Dominican Republic,M,Education,Higher,... if she neglects the children,0.3
3373,Dominican Republic,M,Education,No education,... if she neglects the children,6.0
3374,Dominican Republic,M,Education,Primary,... if she neglects the children,3.9
3375,Dominican Republic,M,Education,Secondary,... if she neglects the children,1.4
3376,Dominican Republic,M,Education,Higher,... if she refuses to have sex with him,0.3
3377,Dominican Republic,M,Education,No education,... if she refuses to have sex with him,0.9
3378,Dominican Republic,M,Education,Primary,... if she refuses to have sex with him,0.9
3379,Dominican Republic,M,Education,Secondary,... if she refuses to have sex with him,0.5
3380,Dominican Republic,M,Employment,Employed for cash,... for at least one specific reason,14.9
3381,Dominican Republic,M,Employment,Employed for kind,... for at least one specific reason,14.9
3382,Dominican Republic,M,Employment,Unemployed,... for at least one specific reason,4.2
3383,Dominican Republic,M,Employment,Employed for cash,... if she argues with him,14.9
3384,Dominican Republic,M,Employment,Employed for kind,... if she argues with him,14.9
3385,Dominican Republic,M,Employment,Unemployed,... if she argues with him,1.1
3386,Dominican Republic,M,Employment,Employed for cash,... if she goes out without telling him,14.9
3387,Dominican Republic,M,Employment,Employed for kind,... if she goes out without telling him,14.9
3388,Dominican Republic,M,Employment,Unemployed,... if she goes out without telling him,2.2
3389,Dominican Republic,M,Employment,Employed for cash,... if she neglects the children,14.9
3390,Dominican Republic,M,Employment,Employed for kind,... if she neglects the children,14.9
3391,Dominican Republic,M,Employment,Unemployed,... if she neglects the children,2.3
3392,Dominican Republic,M,Employment,Employed for cash,... if she refuses to have sex with him,14.9
3393,Dominican Republic,M,Employment,Employed for kind,... if she refuses to have sex with him,14.9
3394,Dominican Republic,M,Employment,Unemployed,... if she refuses to have sex with him,0.6
3395,Dominican Republic,M,Marital status,Married or living together,... for at least one specific reason,2.7
3396,Dominican Republic,M,Marital status,Never married,... for at least one specific reason,5.8
3397,Dominican Republic,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,4.4
3398,Dominican Republic,M,Marital status,Married or living together,... if she argues with him,0.6
3399,Dominican Republic,M,Marital status,Never married,... if she argues with him,1.6
3400,Dominican Republic,M,Marital status,"Widowed, divorced, separated",... if she argues with him,1.1
3401,Dominican Republic,M,Marital status,Married or living together,... if she goes out without telling him,1.3
3402,Dominican Republic,M,Marital status,Never married,... if she goes out without telling him,3.3
3403,Dominican Republic,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2.0
3404,Dominican Republic,M,Marital status,Married or living together,... if she neglects the children,1.6
3405,Dominican Republic,M,Marital status,Never married,... if she neglects the children,3.3
3406,Dominican Republic,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2.1
3407,Dominican Republic,M,Marital status,Married or living together,... if she refuses to have sex with him,0.4
3408,Dominican Republic,M,Marital status,Never married,... if she refuses to have sex with him,0.9
3409,Dominican Republic,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,0.6
3410,Dominican Republic,M,Residence,Rural,... for at least one specific reason,4.6
3411,Dominican Republic,M,Residence,Urban,... for at least one specific reason,4.0
3412,Dominican Republic,M,Residence,Rural,... if she argues with him,1.2
3413,Dominican Republic,M,Residence,Urban,... if she argues with him,1.0
3414,Dominican Republic,M,Residence,Rural,... if she goes out without telling him,2.3
3415,Dominican Republic,M,Residence,Urban,... if she goes out without telling him,2.2
3416,Dominican Republic,M,Residence,Rural,... if she neglects the children,2.8
3417,Dominican Republic,M,Residence,Urban,... if she neglects the children,2.1
3418,Dominican Republic,M,Residence,Rural,... if she refuses to have sex with him,0.9
3419,Dominican Republic,M,Residence,Urban,... if she refuses to have sex with him,0.5
3420,Egypt,F,Marital status,Never married,... if she burns the food,14.9
3421,Egypt,F,Education,Higher,... if she burns the food,1.1
3422,Egypt,F,Residence,Urban,... if she burns the food,3.2
3423,Egypt,F,Employment,Employed for cash,... if she burns the food,4.4
3424,Egypt,F,Education,Secondary,... if she burns the food,4.9
3425,Egypt,F,Age,25-34,... if she burns the food,6.5
3426,Egypt,F,Marital status,Married or living together,... if she burns the food,6.9
3427,Egypt,F,Employment,Unemployed,... if she burns the food,7.1
3428,Egypt,F,Age,15-24,... if she burns the food,7.3
3429,Egypt,F,Age,35-49,... if she burns the food,7.3
3430,Egypt,F,Marital status,"Widowed, divorced, separated",... if she burns the food,8.1
3431,Egypt,F,Residence,Rural,... if she burns the food,9.0
3432,Egypt,F,Education,Primary,... if she burns the food,10.9
3433,Egypt,F,Education,No education,... if she burns the food,13.1
3434,Egypt,F,Employment,Employed for kind,... if she burns the food,20.8
3435,Egypt,M,Age,15-24,... if she burns the food,14.9
3436,Egypt,M,Age,25-34,... if she burns the food,14.9
3437,Egypt,M,Age,35-49,... if she burns the food,14.9
3438,Egypt,M,Education,Higher,... if she burns the food,14.9
3439,Egypt,M,Education,No education,... if she burns the food,14.9
3440,Egypt,M,Education,Primary,... if she burns the food,14.9
3441,Egypt,M,Education,Secondary,... if she burns the food,14.9
3442,Egypt,M,Employment,Employed for cash,... if she burns the food,14.9
3443,Egypt,M,Employment,Employed for kind,... if she burns the food,14.9
3444,Egypt,M,Employment,Unemployed,... if she burns the food,14.9
3445,Egypt,M,Marital status,Married or living together,... if she burns the food,14.9
3446,Egypt,M,Marital status,Never married,... if she burns the food,14.9
3447,Egypt,M,Marital status,"Widowed, divorced, separated",... if she burns the food,14.9
3448,Egypt,M,Residence,Rural,... if she burns the food,14.9
3449,Egypt,M,Residence,Urban,... if she burns the food,14.9
3450,Egypt,F,Age,15-24,... for at least one specific reason,40.5
3451,Egypt,F,Age,25-34,... for at least one specific reason,33.7
3452,Egypt,F,Age,35-49,... for at least one specific reason,35.5
3453,Egypt,F,Age,15-24,... if she argues with him,14.4
3454,Egypt,F,Age,25-34,... if she argues with him,11.5
3455,Egypt,F,Age,35-49,... if she argues with him,13.3
3456,Egypt,F,Age,15-24,... if she goes out without telling him,29.1
3457,Egypt,F,Age,25-34,... if she goes out without telling him,23.5
3458,Egypt,F,Age,35-49,... if she goes out without telling him,26.0
3459,Egypt,F,Age,15-24,... if she neglects the children,27.6
3460,Egypt,F,Age,25-34,... if she neglects the children,22.2
3461,Egypt,F,Age,35-49,... if she neglects the children,24.6
3462,Egypt,F,Age,15-24,... if she refuses to have sex with him,20.6
3463,Egypt,F,Age,25-34,... if she refuses to have sex with him,18.3
3464,Egypt,F,Age,35-49,... if she refuses to have sex with him,21.2
3465,Egypt,F,Education,Higher,... for at least one specific reason,13.3
3466,Egypt,F,Education,No education,... for at least one specific reason,53.1
3467,Egypt,F,Education,Primary,... for at least one specific reason,47.2
3468,Egypt,F,Education,Secondary,... for at least one specific reason,31.3
3469,Egypt,F,Education,Higher,... if she argues with him,2.5
3470,Egypt,F,Education,No education,... if she argues with him,23.4
3471,Egypt,F,Education,Primary,... if she argues with him,20.4
3472,Egypt,F,Education,Secondary,... if she argues with him,9.0
3473,Egypt,F,Education,Higher,... if she goes out without telling him,6.5
3474,Egypt,F,Education,No education,... if she goes out without telling him,41.8
3475,Egypt,F,Education,Primary,... if she goes out without telling him,36.7
3476,Egypt,F,Education,Secondary,... if she goes out without telling him,20.9
3477,Egypt,F,Education,Higher,... if she neglects the children,6.0
3478,Egypt,F,Education,No education,... if she neglects the children,38.6
3479,Egypt,F,Education,Primary,... if she neglects the children,34.8
3480,Egypt,F,Education,Secondary,... if she neglects the children,20.2
3481,Egypt,F,Education,Higher,... if she refuses to have sex with him,6.7
3482,Egypt,F,Education,No education,... if she refuses to have sex with him,33.4
3483,Egypt,F,Education,Primary,... if she refuses to have sex with him,28.6
3484,Egypt,F,Education,Secondary,... if she refuses to have sex with him,15.4
3485,Egypt,F,Employment,Employed for cash,... for at least one specific reason,24.1
3486,Egypt,F,Employment,Employed for kind,... for at least one specific reason,56.35000000000001
3487,Egypt,F,Employment,Unemployed,... for at least one specific reason,37.0
3488,Egypt,F,Employment,Employed for cash,... if she argues with him,6.6
3489,Egypt,F,Employment,Employed for kind,... if she argues with him,30.3
3490,Egypt,F,Employment,Unemployed,... if she argues with him,13.4
3491,Egypt,F,Employment,Employed for cash,... if she goes out without telling him,15.1
3492,Egypt,F,Employment,Employed for kind,... if she goes out without telling him,45.4
3493,Egypt,F,Employment,Unemployed,... if she goes out without telling him,26.8
3494,Egypt,F,Employment,Employed for cash,... if she neglects the children,14.7
3495,Egypt,F,Employment,Employed for kind,... if she neglects the children,43.0
3496,Egypt,F,Employment,Unemployed,... if she neglects the children,25.3
3497,Egypt,F,Employment,Employed for cash,... if she refuses to have sex with him,13.2
3498,Egypt,F,Employment,Employed for kind,... if she refuses to have sex with him,39.4
3499,Egypt,F,Employment,Unemployed,... if she refuses to have sex with him,20.5
3500,Egypt,F,Marital status,Married or living together,... for at least one specific reason,35.8
3501,Egypt,F,Marital status,Never married,... for at least one specific reason,14.9
3502,Egypt,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,33.2
3503,Egypt,F,Marital status,Married or living together,... if she argues with him,12.8
3504,Egypt,F,Marital status,Never married,... if she argues with him,14.9
3505,Egypt,F,Marital status,"Widowed, divorced, separated",... if she argues with him,12.0
3506,Egypt,F,Marital status,Married or living together,... if she goes out without telling him,25.6
3507,Egypt,F,Marital status,Never married,... if she goes out without telling him,14.9
3508,Egypt,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,24.0
3509,Egypt,F,Marital status,Married or living together,... if she neglects the children,24.2
3510,Egypt,F,Marital status,Never married,... if she neglects the children,14.9
3511,Egypt,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,23.1
3512,Egypt,F,Marital status,Married or living together,... if she refuses to have sex with him,19.9
3513,Egypt,F,Marital status,Never married,... if she refuses to have sex with him,14.9
3514,Egypt,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,20.2
3515,Egypt,F,Residence,Rural,... for at least one specific reason,43.9
3516,Egypt,F,Residence,Urban,... for at least one specific reason,20.3
3517,Egypt,F,Residence,Rural,... if she argues with him,16.3
3518,Egypt,F,Residence,Urban,... if she argues with him,6.2
3519,Egypt,F,Residence,Rural,... if she goes out without telling him,31.7
3520,Egypt,F,Residence,Urban,... if she goes out without telling him,14.0
3521,Egypt,F,Residence,Rural,... if she neglects the children,30.1
3522,Egypt,F,Residence,Urban,... if she neglects the children,13.0
3523,Egypt,F,Residence,Rural,... if she refuses to have sex with him,25.1
3524,Egypt,F,Residence,Urban,... if she refuses to have sex with him,10.2
3525,Egypt,M,Age,15-24,... for at least one specific reason,14.9
3526,Egypt,M,Age,25-34,... for at least one specific reason,14.9
3527,Egypt,M,Age,35-49,... for at least one specific reason,14.9
3528,Egypt,M,Age,15-24,... if she argues with him,14.9
3529,Egypt,M,Age,25-34,... if she argues with him,14.9
3530,Egypt,M,Age,35-49,... if she argues with him,14.9
3531,Egypt,M,Age,15-24,... if she goes out without telling him,14.9
3532,Egypt,M,Age,25-34,... if she goes out without telling him,14.9
3533,Egypt,M,Age,35-49,... if she goes out without telling him,14.9
3534,Egypt,M,Age,15-24,... if she neglects the children,14.9
3535,Egypt,M,Age,25-34,... if she neglects the children,14.9
3536,Egypt,M,Age,35-49,... if she neglects the children,14.9
3537,Egypt,M,Age,15-24,... if she refuses to have sex with him,14.9
3538,Egypt,M,Age,25-34,... if she refuses to have sex with him,14.9
3539,Egypt,M,Age,35-49,... if she refuses to have sex with him,14.9
3540,Egypt,M,Education,Higher,... for at least one specific reason,14.9
3541,Egypt,M,Education,No education,... for at least one specific reason,14.9
3542,Egypt,M,Education,Primary,... for at least one specific reason,14.9
3543,Egypt,M,Education,Secondary,... for at least one specific reason,14.9
3544,Egypt,M,Education,Higher,... if she argues with him,14.9
3545,Egypt,M,Education,No education,... if she argues with him,14.9
3546,Egypt,M,Education,Primary,... if she argues with him,14.9
3547,Egypt,M,Education,Secondary,... if she argues with him,14.9
3548,Egypt,M,Education,Higher,... if she goes out without telling him,14.9
3549,Egypt,M,Education,No education,... if she goes out without telling him,14.9
3550,Egypt,M,Education,Primary,... if she goes out without telling him,14.9
3551,Egypt,M,Education,Secondary,... if she goes out without telling him,14.9
3552,Egypt,M,Education,Higher,... if she neglects the children,14.9
3553,Egypt,M,Education,No education,... if she neglects the children,14.9
3554,Egypt,M,Education,Primary,... if she neglects the children,14.9
3555,Egypt,M,Education,Secondary,... if she neglects the children,14.9
3556,Egypt,M,Education,Higher,... if she refuses to have sex with him,14.9
3557,Egypt,M,Education,No education,... if she refuses to have sex with him,14.9
3558,Egypt,M,Education,Primary,... if she refuses to have sex with him,14.9
3559,Egypt,M,Education,Secondary,... if she refuses to have sex with him,14.9
3560,Egypt,M,Employment,Employed for cash,... for at least one specific reason,14.9
3561,Egypt,M,Employment,Employed for kind,... for at least one specific reason,14.9
3562,Egypt,M,Employment,Unemployed,... for at least one specific reason,14.9
3563,Egypt,M,Employment,Employed for cash,... if she argues with him,14.9
3564,Egypt,M,Employment,Employed for kind,... if she argues with him,14.9
3565,Egypt,M,Employment,Unemployed,... if she argues with him,14.9
3566,Egypt,M,Employment,Employed for cash,... if she goes out without telling him,14.9
3567,Egypt,M,Employment,Employed for kind,... if she goes out without telling him,14.9
3568,Egypt,M,Employment,Unemployed,... if she goes out without telling him,14.9
3569,Egypt,M,Employment,Employed for cash,... if she neglects the children,14.9
3570,Egypt,M,Employment,Employed for kind,... if she neglects the children,14.9
3571,Egypt,M,Employment,Unemployed,... if she neglects the children,14.9
3572,Egypt,M,Employment,Employed for cash,... if she refuses to have sex with him,14.9
3573,Egypt,M,Employment,Employed for kind,... if she refuses to have sex with him,14.9
3574,Egypt,M,Employment,Unemployed,... if she refuses to have sex with him,14.9
3575,Egypt,M,Marital status,Married or living together,... for at least one specific reason,14.9
3576,Egypt,M,Marital status,Never married,... for at least one specific reason,14.9
3577,Egypt,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,14.9
3578,Egypt,M,Marital status,Married or living together,... if she argues with him,14.9
3579,Egypt,M,Marital status,Never married,... if she argues with him,14.9
3580,Egypt,M,Marital status,"Widowed, divorced, separated",... if she argues with him,14.9
3581,Egypt,M,Marital status,Married or living together,... if she goes out without telling him,14.9
3582,Egypt,M,Marital status,Never married,... if she goes out without telling him,14.9
3583,Egypt,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,14.9
3584,Egypt,M,Marital status,Married or living together,... if she neglects the children,14.9
3585,Egypt,M,Marital status,Never married,... if she neglects the children,14.9
3586,Egypt,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,14.9
3587,Egypt,M,Marital status,Married or living together,... if she refuses to have sex with him,14.9
3588,Egypt,M,Marital status,Never married,... if she refuses to have sex with him,14.9
3589,Egypt,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,14.9
3590,Egypt,M,Residence,Rural,... for at least one specific reason,14.9
3591,Egypt,M,Residence,Urban,... for at least one specific reason,14.9
3592,Egypt,M,Residence,Rural,... if she argues with him,14.9
3593,Egypt,M,Residence,Urban,... if she argues with him,14.9
3594,Egypt,M,Residence,Rural,... if she goes out without telling him,14.9
3595,Egypt,M,Residence,Urban,... if she goes out without telling him,14.9
3596,Egypt,M,Residence,Rural,... if she neglects the children,14.9
3597,Egypt,M,Residence,Urban,... if she neglects the children,14.9
3598,Egypt,M,Residence,Rural,... if she refuses to have sex with him,14.9
3599,Egypt,M,Residence,Urban,... if she refuses to have sex with him,14.9
3600,Eritrea,F,Education,Higher,... if she burns the food,5.1
3601,Eritrea,F,Education,Secondary,... if she burns the food,15.7
3602,Eritrea,F,Residence,Urban,... if she burns the food,22.2
